julia version 1.10.5
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
1028.63 secs, 2296 evals, 2225 steps, improv/step: 0.316 (last = 0.0000), fitness=1.467847551
1036.49 secs, 2300 evals, 2229 steps, improv/step: 0.315 (last = 0.2500), fitness=1.467847551
1044.82 secs, 2306 evals, 2235 steps, improv/step: 0.315 (last = 0.3333), fitness=1.467847551
1053.56 secs, 2313 evals, 2242 steps, improv/step: 0.315 (last = 0.1429), fitness=1.467847551
1066.26 secs, 2316 evals, 2245 steps, improv/step: 0.315 (last = 0.3333), fitness=1.467847551
1073.07 secs, 2318 evals, 2247 steps, improv/step: 0.315 (last = 0.5000), fitness=1.467847551
1080.73 secs, 2322 evals, 2251 steps, improv/step: 0.315 (last = 0.2500), fitness=1.467847551
1087.58 secs, 2327 evals, 2256 steps, improv/step: 0.316 (last = 0.8000), fitness=1.467847551
1096.04 secs, 2329 evals, 2258 steps, improv/step: 0.317 (last = 1.0000), fitness=1.467847551
1103.36 secs, 2330 evals, 2259 steps, improv/step: 0.317 (last = 1.0000), fitness=1.467847551
1112.16 secs, 2333 evals, 2262 steps, improv/step: 0.317 (last = 0.0000), fitness=1.467847551
1121.45 secs, 2334 evals, 2263 steps, improv/step: 0.317 (last = 1.0000), fitness=1.467847551
1130.24 secs, 2337 evals, 2266 steps, improv/step: 0.316 (last = 0.0000), fitness=1.467847551
1138.48 secs, 2338 evals, 2267 steps, improv/step: 0.317 (last = 1.0000), fitness=1.467847551
1146.04 secs, 2340 evals, 2269 steps, improv/step: 0.317 (last = 0.5000), fitness=1.467847551
1154.57 secs, 2341 evals, 2270 steps, improv/step: 0.317 (last = 0.0000), fitness=1.467847551
1161.94 secs, 2345 evals, 2274 steps, improv/step: 0.316 (last = 0.0000), fitness=1.467847551
1169.82 secs, 2348 evals, 2277 steps, improv/step: 0.316 (last = 0.0000), fitness=1.467847551
1177.43 secs, 2353 evals, 2282 steps, improv/step: 0.316 (last = 0.4000), fitness=1.467847551
1184.36 secs, 2355 evals, 2284 steps, improv/step: 0.316 (last = 0.0000), fitness=1.467847551
1191.80 secs, 2357 evals, 2286 steps, improv/step: 0.315 (last = 0.0000), fitness=1.467847551
1200.18 secs, 2359 evals, 2288 steps, improv/step: 0.315 (last = 0.0000), fitness=1.467847551
1210.80 secs, 2367 evals, 2296 steps, improv/step: 0.316 (last = 0.6250), fitness=1.467847551
1220.05 secs, 2368 evals, 2297 steps, improv/step: 0.316 (last = 0.0000), fitness=1.467847551
1227.49 secs, 2371 evals, 2300 steps, improv/step: 0.317 (last = 0.6667), fitness=1.467847551
1236.25 secs, 2372 evals, 2301 steps, improv/step: 0.316 (last = 0.0000), fitness=1.467847551
1244.82 secs, 2381 evals, 2310 steps, improv/step: 0.316 (last = 0.2222), fitness=1.467847551
1252.36 secs, 2382 evals, 2311 steps, improv/step: 0.316 (last = 0.0000), fitness=1.467847551
1262.02 secs, 2386 evals, 2315 steps, improv/step: 0.316 (last = 0.2500), fitness=1.467847551
1270.17 secs, 2389 evals, 2318 steps, improv/step: 0.316 (last = 0.6667), fitness=1.467847551
1277.71 secs, 2391 evals, 2320 steps, improv/step: 0.316 (last = 0.0000), fitness=1.467847551
1285.45 secs, 2398 evals, 2327 steps, improv/step: 0.315 (last = 0.1429), fitness=1.467847551
1293.27 secs, 2401 evals, 2330 steps, improv/step: 0.315 (last = 0.3333), fitness=1.467847551
1300.79 secs, 2406 evals, 2335 steps, improv/step: 0.315 (last = 0.0000), fitness=1.467847551
1308.00 secs, 2414 evals, 2343 steps, improv/step: 0.314 (last = 0.1250), fitness=1.467847551
1319.08 secs, 2415 evals, 2344 steps, improv/step: 0.314 (last = 1.0000), fitness=1.467847551
1326.58 secs, 2417 evals, 2346 steps, improv/step: 0.314 (last = 0.0000), fitness=1.467847551
1334.65 secs, 2418 evals, 2347 steps, improv/step: 0.314 (last = 0.0000), fitness=1.467847551
1342.32 secs, 2419 evals, 2348 steps, improv/step: 0.314 (last = 1.0000), fitness=1.467847551
1349.73 secs, 2428 evals, 2357 steps, improv/step: 0.314 (last = 0.1111), fitness=1.467847551
1358.92 secs, 2429 evals, 2358 steps, improv/step: 0.314 (last = 1.0000), fitness=1.467847551
1366.12 secs, 2437 evals, 2366 steps, improv/step: 0.314 (last = 0.2500), fitness=1.467847551
