cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before,cover_after
Hamish,s,2009.1808219178083,Erskine Island,23068100104,2008,2010,0.19329124099464146,0.1387938902082039
unknown,m,2020.0849315068492,Erskine Island,23068100104,2020,2021,0.41891770670918616,0.3652041664907682
unknown,m,2008.0,Fairfax Island,23081100104,2006,2008,0.5573461385703403,0.4408196910681106
Hamish,s,2009.1808219178083,Fairfax Island,23081100104,2008,2010,0.4408196910681106,0.15338986757624687
unknown,c,2012.0,Fairfax Island,23081100104,2010,2012,0.15338986757624687,0.14151410365489367
unknown,c,2014.0,Fairfax Island,23081100104,2012,2014,0.14151410365489367,0.14871863989834783
Yasi,s,2011.0,Farquharson Reef,17063101104,2010,2012,0.07739029586105195,0.06235557512516856
unknown,c,2018.0,Farquharson Reef,17063101104,2016,2018,0.14328335402726364,0.09676481084317771
Tasha,s,2010.978082191781,Fitzroy Island,16054101104,2010,2012,0.2936325593781349,0.22350372312302003
unknown,c,2015.0,Fitzroy Island,16054101104,2012,2017,0.22350372312302003,0.2115554901047081
Yasi,s,2011.0876712328768,Fork Reef,18083100104,2010,2012,0.17925103068600462,0.07726256434428068
unknown,c,2013.0,Forrester Reef,15009100104,2009,2013,0.21398494055679265,0.16954296757783568
unknown,c,2015.0,Forrester Reef,15009100104,2013,2015,0.16954296757783568,0.07859872730616282
Hamish,s,2009.1808219178083,Gannet Cay,21556100104,2009,2010,0.12730687389190784,0.09606938687974569
unknown,c,2019.0,Gannet Cay,21556100104,2017,2019,0.46803397456043583,0.32249925452240485
unknown,c,2021.0,Gannet Cay,21556100104,2019,2021,0.32249925452240485,0.21805825013949826
unknown,c,2013.0,Green Island,16049100104,2012,2013,0.11052819333543668,0.08072837216759786
Yasi,s,2011.0876712328768,Grub Reef (18-077),18077100104,2008,2012,0.09813880291728369,0.06301651631208895
unknown,m,2016.0849315068492,Harrier Reef,15025100104,2015,2017,0.3407018432238091,0.12094994764039259
Yasi,s,2011.0876712328768,Hedley Reef,17014100104,2010,2012,0.13216243678855627,0.11635091143753944
unknown,c,2008.0,Helix Reef,18076100104,2006,2008,0.33568624342488723,0.1629472952688646
Yasi,s,2011.0876712328768,Helix Reef,18076100104,2010,2012,0.1756361526496469,0.07438261766394925
unknown,c,2011.0,Helsdon Reef,14135100104,2010,2011,0.23877617984021587,0.20679355060311716
unknown,c,2013.0,Helsdon Reef,14135100104,2011,2013,0.20679355060311716,0.2493414391459357
unknown,c,2015.0,Helsdon Reef,14135100104,2013,2015,0.2493414391459357,0.09846100194879462
unknown,c,2019.0,Horseshoe Reef,22104101104,2017,2019,0.2950809504652813,0.08955409723505024
unknown,m,2008.0,Hoskyn Island,23080100104,2006,2008,0.5535659151100655,0.45178965406874944
Hamish,s,2009.18,Hoskyn Island,23080100104,2008,2010,0.45178965406874944,0.17671624764846494
Hamish,s,2009.1808219178083,Hyde Reef,19207100104,2007,2009,0.37391563399800354,0.13028675385906788
Ului,s,2010.0,Hyde Reef,19207100104,2009,2011,0.13028675385906788,0.10846554983345245
Hamish,s,2009.1808219178083,Jenkins Reef,21584100104,2008,2010,0.16368087566797968,0.1291129713619812
unknown,c,2018.0,Jenkins Reef,21584100104,2016,2018,0.5287983284062253,0.09945137390449085
unknown,c,2019.0,John Brewer Reef,18075100104,2017,2020,0.37751976099866913,0.11625536911021976
Yasi,s,2011.0876712328768,Knife Reef,18081100104,2010,2012,0.26470487771030826,0.08657851125960327
unknown,m,2008.0,Lady Musgrave Island,23082101104,2007,2009,0.5347300317268993,0.3035983616418739
Hamish,s,2009.1808219178083,Lady Musgrave Island,23082101104,2009,2010,0.3035983616418739,0.16362244197831388
unknown,c,2013.0,Linnet Reef,14126100104,2011,2013,0.34689225627104703,0.26521147533610845
Nathan,s,2015.2109589041097,Linnet Reef,14126100104,2013,2017,0.26521147533610845,0.08561669096930842
