# Raw per-reef, per-year manta tow cover, cached from ReefMonitoring.get_manta_tow -
# read by 03_a_create_cover_manta_csv.jl and base/generate_clean_growth_intervals.jl
# instead of each hitting the API independently. Delete this file and re-run to force
# a fresh pull (e.g. after a new manta tow survey has landed).
# Generated: 2026-07-30T14:42:55.845
reef_name,report_year,mean
Gannet Cay,2024,0.09715647319696272
Gannet Cay,2025,0.11045959064262183
Gannet Cay,2026,0.11310304961448209
Green Island,1986,0.07026047062793007
Green Island,1987,0.07273207865078725
Green Island,1988,0.07054953881268858
Green Island,1989,0.06856895177307248
Green Island,1990,0.09171943372626201
Green Island,1991,0.08008715231663785
Green Island,1992,0.09384247249983631
Green Island,1993,0.10351234618100148
Green Island,1994,0.07515749979361186
Green Island,1995,0.09248169120392977
Green Island,1996,0.13345877065259976
Green Island,1997,0.0875152605916654
Green Island,1998,0.06160195291640164
Green Island,1999,0.06422139647246743
Green Island,2002,0.0645435606438509
Green Island,2003,0.05786531280032366
Green Island,2004,0.06377046059208108
Green Island,2005,0.06028064630376441
Green Island,2006,0.08606393692094325
Green Island,2007,0.07323597541179434
Green Island,2010,0.09088469845242828
Green Island,2012,0.11052819333543668
Green Island,2013,0.08072837216759786
Green Island,2015,0.08026907919849818
Green Island,2017,0.12372269938092842
Green Island,2019,0.06353477040492042
Green Island,2021,0.11910296501833395
Green Island,2022,0.16381460607122325
Green Island,2023,0.17550474962648127
Green Island,2024,0.26563688592467793
Green Island,2026,0.13903381000818674
Grub Reef (18-077),1986,0.31775451730165344
Grub Reef (18-077),1987,0.21695199420677652
Grub Reef (18-077),1988,0.09112010753423573
Grub Reef (18-077),1990,0.09539463029803016
Grub Reef (18-077),2002,0.19192272244088504
Grub Reef (18-077),2003,0.1048447132644089
Grub Reef (18-077),2006,0.08769369345014649
Grub Reef (18-077),2008,0.09813880291728369
Grub Reef (18-077),2012,0.06301651631208895
Grub Reef (18-077),2014,0.06285586067089208
Grub Reef (18-077),2016,0.11433977334345008
Grub Reef (18-077),2018,0.09771161919383989
Grub Reef (18-077),2020,0.1130563634844861
Grub Reef (18-077),2025,0.190176065232126
Harrier Reef,2009,0.20400061179834758
Harrier Reef,2010,0.2448638023045411
Harrier Reef,2015,0.3407018432238091
Harrier Reef,2017,0.12094994764039259
Harrier Reef,2021,0.2962454417082867
Harrier Reef,2026,0.42941428504222895
Hedley Reef,1986,0.15438972132909437
Hedley Reef,1994,0.15248842461289236
Hedley Reef,1997,0.22927594012372415
Hedley Reef,2000,0.14871468852753286
Hedley Reef,2006,0.17106074216088826
Hedley Reef,2007,0.12497713311980443
Hedley Reef,2008,0.1273103382098919
Hedley Reef,2010,0.13216243678855627
Hedley Reef,2012,0.11635091143753944
Hedley Reef,2016,0.1274763714173427
Hedley Reef,2018,0.07676451250735687
Hedley Reef,2023,0.16597884952437086
Hedley Reef,2024,0.21502003429039948
Helix Reef,1986,0.30497533040050306
Helix Reef,1987,0.03633672269530922
Helix Reef,1988,0.056089939899831465
Helix Reef,1989,0.04887427114912528
Helix Reef,1990,0.06564861954559775
Helix Reef,1991,0.07766090456230941
Helix Reef,1993,0.08976312355071248
Helix Reef,1996,0.24980752763884603
Helix Reef,1999,0.28785146426645775
Helix Reef,2002,0.3208987993307096
Helix Reef,2003,0.3963835902403007
Helix Reef,2005,0.3644396149100883
Helix Reef,2006,0.33568624342488723
Helix Reef,2008,0.1629472952688646
Helix Reef,2010,0.1756361526496469
Helix Reef,2012,0.07438261766394925
Helix Reef,2014,0.21618864613482233
Helix Reef,2016,0.2299202241528803
Helix Reef,2018,0.42924691276123256
Helix Reef,2020,0.5035026588589433
Helix Reef,2023,0.5359549060278085
Helix Reef,2024,0.4365515174879953
Helix Reef,2025,0.4515876007829536
Helix Reef,2026,0.41851204205849873
Helsdon Reef,1986,0.178018898416451
Helsdon Reef,1987,0.2092516510530919
Helsdon Reef,1988,0.24166259499939885
Helsdon Reef,1990,0.27910226651019965
Helsdon Reef,1991,0.2728806403678087
Helsdon Reef,1993,0.27220110898165356
Helsdon Reef,1996,0.23626176382293215
Helsdon Reef,1999,0.1209715632945853
Helsdon Reef,2002,0.16224015013019613
Helsdon Reef,2005,0.17185040917469385
Helsdon Reef,2009,0.21192029089021583
Helsdon Reef,2010,0.23877617984021587
Helsdon Reef,2011,0.20679355060311716
Helsdon Reef,2013,0.2493414391459357
Helsdon Reef,2015,0.09846100194879462
Helsdon Reef,2021,0.27426117634246827
