reef_name,reef_id,dist_year,survival_rate_Tabular_Acropora,survival_rate_Corymbose_Acropora,survival_rate_Corymbose_non_Acropora,survival_rate_Small_Massives,survival_rate_Large_Massives
Peart Reef,17024100104,2012,0.34291942339463627,0.4482780324750518,0.5970364487153186,0.8575159155287193,0.6515765140364242
Peart Reef,17024100104,2016,0.9635971993932357,0.9182922362754459,0.714374494574062,0.7102616525490495,0.42211044843963885
Peart Reef,17024100104,2018,0.20281863502144276,0.19009947770673133,0.07156218719714963,0.6667117132468617,0.7035452647742494
Pickersgill Reef,15093100104,2015,1.0,0.42076189933163377,0.3995293366131042,0.3650594334244353,0.5833649543614422
Pompey Reef No.1,20351101104,2010,0.2985169009462743,0.4277451423934977,0.40488500649725934,0.4403886391457282,0.6465605801160916
Pompey Reef No.1,20351101104,2018,0.3991107111370354,0.6391032153671998,0.3382398188673174,0.3767344299962657,0.28761748774052603
Pompey Reef No.2,20351102104,2010,0.11985870913863415,0.3293248539975471,0.2131933649352484,0.4400913107664786,0.4961593126564787
Pompey Reef No.2,20351102104,2018,0.05312591056195548,0.19927873812905564,0.05,0.6060984170750154,0.8786552283721139
Rebe Reef,19209100104,2009,0.11538965316856148,0.3512609854710307,0.13131759950155125,0.3940813673330623,0.6477295510737993
Rebe Reef,19209100104,2011,0.05,0.13124881813873007,0.1156435632430375,0.7655775213680311,0.25573164412468996
Reef 19-131,19131101104,2009,0.5927923896488663,0.7381392051999403,0.8360497013598204,0.6043505010596978,0.6306091218015811
Reef 19-131,19131101104,2019,0.20415394658179892,0.4224699950553104,0.5669548441350097,0.6281980473484445,0.47698857478658657
Reef 19-138,19138100104,2011,0.229521490607474,0.6995621249426679,0.6808475336307052,1.0,1.0
Reef 19-138,19138100104,2019,0.1191238709137506,0.41561948769395607,0.321816120623967,0.5757295450060365,0.5264564828948867
Reef 20-104,20104100104,2009,0.3644407197763443,0.5982678757887473,0.3682456953060099,0.7554142103048747,0.9963881566474416
Reef 20-104,20104100104,2011,1.0,0.35030286910600356,0.7333586543655302,0.2833894058738134,0.276373464589814
Reef 20-104,20104100104,2021,0.4195640416623839,0.6098151599016951,0.7038557631462887,0.8213216352750548,0.6879213502325283
Reef 20-348,20348100104,2010,0.1238468449762984,0.12629043921996655,0.4194430077194877,0.23148774396116417,0.25668695843461453
Reef 20-353,20353100104,2010,0.05,0.1732895383729869,0.08723511000581796,0.17805119248227239,0.8328296011776504
Reef 21-060,21060100104,2010,0.0991287598568643,0.1399910367886774,0.13970230369044953,0.5324618215075088,0.4947722966185007
Reef 21-060,21060100104,2014,0.3895615227721601,0.39300716529119467,0.1802489031496495,0.5114545984321903,0.36215308297668936
Reef 21-062,21062100104,2014,0.0766377099280543,0.09013382086224483,1.0,0.22788023114107558,0.3303347635834415
Reef 21-062,21062100104,2016,0.05,0.5640186334855912,1.0,0.4913930864094813,1.0
Reef 21-064,21064100104,2010,0.14591539927594885,0.20965473340920332,0.15399870750420092,0.5563937409605967,0.4118539971942611
Reef 21-064,21064100104,2016,0.12200275420933859,0.13553085923907923,0.2737522397530004,0.2820733205775903,0.45294445051590837
Reef 21-064,21064100104,2018,0.05,0.3215400162371807,0.4105860650700642,0.582868107905043,0.8054808581706058
Reef 21-139,21139100104,2010,0.18567068056710961,0.38260629467127694,0.4629507176980385,0.5567024702894566,0.3989818086640801
Reef 21-187,21187100104,2010,0.11326896667890934,0.23942839582003597,0.13431643434885526,0.3634357694291193,0.22031288604752733
Reef 21-245,21245100104,2010,0.21111222757549777,0.3424163974996834,0.223490618716404,0.3868516245828709,0.438593864736663
Reef 21-296,21296100104,2018,0.4559434972234935,0.4285327862455764,0.4296504289639505,0.42691787214884974,0.4536324735306949
Reef 21-529,21529100104,2010,0.05,0.07362315011365596,0.05,0.9532167996642004,0.9337415762378639
Reef 21-550,21550100104,2010,0.05,0.28889458618806146,0.11668196397174217,0.7630670872827426,0.39943878401745053
Reef 21-558,21558100104,2012,0.31572065499913204,0.28273218817672874,0.34692489848791735,0.6351760085861233,0.49907569027937887
Reef 21-558,21558100104,2016,0.9920894973859731,0.9862599140152891,0.9040834254213472,0.8511041359818886,0.819316265928414
Reef 21-558,21558100104,2022,1.0,1.0,0.5211518785470364,0.5761743400137671,0.7536828801004221
Reef 21-591,21591100104,2010,0.36643107236527483,0.45241938969437023,0.4815062995162577,0.7627960605752769,0.4480031278572908
Reef 21-591,21591100104,2014,0.2735501197200164,0.4650865529660571,0.3683272770927408,0.7674227766694663,0.6008147464728069
Reef 22-084,22084100104,2010,0.15386783823716912,0.35333106916568874,0.25424536896815497,0.8302050900940808,0.7688907488633735
Reef 22-084,22084100104,2020,0.5752302756900821,0.6735872641488834,1.0,1.0,1.0
Reef 22-084,22084100104,2022,0.1376393086757991,0.20311995181485987,0.25193768228353236,0.28541131908940165,0.42280013002600475
Rib Reef,18032100104,2011,0.15665958888015927,0.3324396594027124,0.24184235950279587,1.0,0.8942679673525015
Rib Reef,18032100104,2017,0.5644911930300398,0.6148694841291595,0.2732520774963934,0.6745606475267248,0.48120919460182404
Rib Reef,18032100104,2018,0.10288893891674393,0.15543319182316062,0.5591895527013947,1.0,1.0
Rib Reef,18032100104,2020,0.36909994978736554,0.5741200736698796,0.7254102035785404,0.6652628970883939,0.4033480063711611
Roxburgh Reef,18042100104,2012,0.06893279316192523,0.1976628632071454,0.24545753482161917,0.3022713830284089,0.3101702028893534
Slate Reef,19159100104,2009,0.0738523405066735,0.3996813282490809,0.3614262944481186,0.5360532707208844,1.0
Slate Reef,19159100104,2013,0.07463785894173793,0.3394996636208446,0.24821948151694542,0.4015795159277182,1.0
Slate Reef,19159100104,2019,0.7851823789448271,0.845397273824983,1.0,1.0,1.0
Small Lagoon Reef,21572100104,2020,0.3776373539250747,0.49075314384028074,0.49453254204998187,0.9165434459161486,0.5153711742691439
Small Lagoon Reef,21572100104,2022,0.19484497125449263,0.2875406855304777,0.3566480457852631,0.40403399870795237,0.5985243603290306
Snake Reef,22088101104,2011,0.1602540512205504,0.5086434374888971,0.38897696217894917,0.9075457928081183,0.49746829158713146
Snake Reef,22088101104,2021,0.933592209354608,0.8807603350304548,0.4363930959840712,1.0,0.4994395388041516
Snake Reef,22088101104,2022,0.305217835146433,0.5426206377151629,1.0,0.5762322846410709,1.0
St. Crispin Reef,16019100104,2012,0.2019552556815488,0.38600010982616184,0.6068790843098943,1.0,1.0
Startle Reef East,15028100104,2013,1.0,0.48078308397905206,0.4565217214345613,0.41713472754126313,0.6665812714713798
Startle Reef East,15028100104,2015,0.9219186078109841,0.3110125738277419,0.2953182013321846,0.2698392467801439,0.4312031013859785
Swinger Reef,15030100104,2010,1.0,0.5920902653906838,0.5622120998179262,0.5137065337022925,0.820903012359613
Swinger Reef,15030100104,2015,0.7240122812258618,0.24424815939187217,0.2319228647979198,0.21191342377766095,0.3386376394413081
Taylor Reef,17064100104,2012,0.4570905487978468,0.4570905487978468,0.6943845408178604,0.6630581995719025,0.6091476334603875
Taylor Reef,17064100104,2017,0.6082731833090954,0.6082731833090954,0.6577734922771734,0.8055662346430525,0.7501165990601926
Taylor Reef,17064100104,2018,0.0661999596723485,0.0661999596723485,0.757858952897482,1.0,1.0
Tern Island,20309100104,2010,0.4007052530617559,0.46864773458187475,0.49397376508948954,0.6355762085213493,1.0
Tern Island,20309100104,2012,0.41295315346546824,0.5590971162454835,1.0,0.39500152836209357,0.5915310070849872
Thetford Reef,16068100104,2012,0.22518328550814484,0.3179553868691259,0.5243155763286307,1.0,0.9379634669771604
Turner Cay,21562100104,2011,0.40064144168695043,0.40064144168695043,0.5056059106224791,0.6841313592342607,0.6381381192222555
Turner Cay,21562100104,2019,0.05,0.05,0.18481014862500922,0.16579880709848174,0.7208619110334712
Wade Reef,21588100104,2018,0.05584559780454929,0.0677162379422188,0.37380453034648947,0.21799886505211755,1.0
Wade Reef,21588100104,2020,0.3806044211066549,0.5051911459023023,0.7158614500179239,0.4772635567709571,0.44901483582988605
Wreck Island,23051100104,2009,0.37672721789212826,0.6033020288886382,0.6951597070072203,1.0,1.0
Wreck Island,23051100104,2011,0.2234138053256026,0.4393955829446983,1.0,0.8984809570711426,0.851861385322691
Yonge Reef,14138100104,2015,0.516209344506625,0.5213399852840027,0.7220019074896035,0.8319195601314304,0.7137598654714103
Yonge Reef,14138100104,2017,0.22648064981406357,0.2553064855136969,1.0,0.42330819381142415,0.24515167606293053
Opal Reef,16025100104,2013,0.42690015080111865,0.667682871364076,0.7054472431866301,0.7597140243205895,0.6571584500782853
Low Isles,16028100104,2019,0.7944720573776856,0.23484865225876692,1.0,0.4937611425335,0.53299609785737
Green Island,16049100104,2015,0.5201818298325538,0.7111208430129574,1.0,0.5049402647653806,0.7146683251061186
McCulloch Reef,17016101104,2012,0.21057232057346476,0.3328346398765891,0.5440947879692364,1.0,0.8252645958012784
Feather Reef,17034100104,2012,0.1663048303036512,0.3095322660704313,0.7135400183886287,1.0,1.0
Kelso Reef,18030100104,2014,0.22942948975955954,0.43478615095896633,0.6283717930349489,0.9331252825990736,0.6984355111232187
Fore and Aft Reef,18043100104,2012,0.348601699258477,0.5862824771944904,0.18953866557411625,1.0,0.4709878906742772
Centipede Reef,18088100104,2016,0.7454015511438481,1.0,0.3664788095599009,0.652824899517012,0.6593834946808413
Davies Reef,18096100104,2015,1.0,1.0,1.0,1.0,0.8597122393606672
Tern Island,20309100104,2018,0.5390697207550688,0.7298462883747414,1.0,0.5156356400358254,0.7721855424308647
Reef 21-302,21302100104,2010,0.28718267139943204,0.3794801704461135,1.0,1.0,1.0
Masthead Island,23069100104,2010,0.629436031682868,0.735071322939529,0.4862550280897214,0.8378302972827967,1.0
