cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before_Tabular_Acropora,cover_after_Tabular_Acropora,cover_before_Corymbose_Acropora,cover_after_Corymbose_Acropora,cover_before_Corymbose_non_Acropora,cover_after_Corymbose_non_Acropora,cover_before_Small_Massives,cover_after_Small_Massives,cover_before_Large_Massives,cover_after_Large_Massives
Yasi,s,2011.0876712328768,Fork Reef,18083100104,2010,2012,0.02629356825256847,0.0010619748520208922,0.04345342317547789,0.007454342029305662,0.030503460453897322,0.0035675076920671216,0.032853328459022405,0.02126675086068389,0.015758574648027334,0.00700140403868048
Hamish,s,2009.1808219178083,Gannet Cay,21556100104,2009,2011,0.06589939102513535,0.005771417695124621,0.0773294444354117,0.008789702791075627,0.05715643224227185,0.004979428150403676,0.056422029802769245,0.01770248631726154,0.046133034354418845,0.018489228015985765
unknown,c,2019.0,Gannet Cay,21556100104,2017,2019,0.06979201171169433,0.04070333124269346,0.08062694367816906,0.05089082155604803,0.04523722496367136,0.029872763123775334,0.066391145865135,0.05057128873922645,0.040681766814489546,0.047548858625417176
unknown,c,2021.0,Gannet Cay,21556100104,2019,2021,0.04070333124269346,0.00232915345517565,0.05089082155604803,0.005397011897596744,0.029872763123775334,0.001138440197074523,0.05057128873922645,0.026190082379957645,0.047548858625417176,0.055616762776556423
unknown,c,2013.0,Green Island,16049100104,2011,2013,0.021222043012255845,0.0010893905954572518,0.040100315418924365,0.0032725883133077963,0.0,0.0,0.02057973436844157,0.014249777352779724,0.04406958870045434,0.06241972897931527
Yasi,s,2011.0876712328768,Grub Reef (18-077),18077100104,2010,2012,0.01026744985080489,0.0014364364618316343,0.015914206049808022,0.007347938011726252,0.022513327781664563,0.0034160432264761335,0.04266278004355279,0.01922682739508196,0.022020471693007228,0.013609701585221443
Yasi,s,2011.0876712328768,Hedley Reef,17014100104,2010,2012,0.05638020510057805,0.012041260123832085,0.07702541886190443,0.021383109660589067,0.030428235675899477,0.01944586344620932,0.01744141375183562,0.01344475103083639,0.02982972010553778,0.01765550101219876
unknown,c,2008.0,Helix Reef,18076100104,2006,2008,0.06942482862909159,0.02981764906756931,0.08444967471669838,0.036904060189926584,0.03242783749016729,0.03000258657199614,0.01931482151602876,0.03135008797311742,0.013408317909683951,0.014390356909709913
Yasi,s,2011.0876712328768,Helix Reef,18076100104,2010,2012,0.04002167535733607,0.003218046870005329,0.05497734812084219,0.01591260963171109,0.03995893781129044,0.014911146666475118,0.03792546450392059,0.02499431299402644,0.014960504767533326,0.01309757047798376
unknown,c,2019.0,Horseshoe Reef,22104101104,2017,2019,0.13448068107115593,0.0005677731479342488,0.19373300830269452,0.006016421222816794,0.055226970768497675,0.0084254550635201,0.03809741405235195,0.007609065793478204,0.050688408099357776,0.029106413936479707
unknown,m,2008.0,Hoskyn Island,23080100104,2008,2010,0.3256012536821926,0.18043735763262056,0.34987537732418855,0.2141345429330595,0.005957846597891009,0.004749510100967304,0.02346461467925733,0.02642450966670734,0.0007862403907792574,0.002215564832438194
Hamish,s,2009.18,Hoskyn Island,23080100104,2008,2010,0.18043735763262056,0.03527346158304849,0.2141345429330595,0.07839370854193042,0.004749510100967304,0.0035411736040435993,0.02642450966670734,0.029384404654157356,0.002215564832438194,0.003644889274097131
Hamish,s,2009.1808219178083,Hyde Reef,19207100104,2007,2009,0.01641566867095905,0.0012997375526501056,0.019960577534483832,0.0060371064319613005,0.014207921409091244,0.009413033026012721,0.047848734617764205,0.026456201544138563,0.04712236757437249,0.031060070705123986
Ului,s,2010.0,Hyde Reef,19207100104,2009,2011,0.0012997375526501056,0.0010102058655250947,0.0060371064319613005,0.009271386853830159,0.009413033026012721,0.0007712127584917449,0.026456201544138563,0.019528219874756277,0.031060070705123986,0.01262178855330668
unknown,c,2018.0,Jenkins Reef,21584100104,2016,2018,0.24064377085573865,0.003155573102273987,0.2816130747284829,0.003955710148280964,0.02664226274505429,0.0011241408702116703,0.06193812471159314,0.000810459937263829,0.04776248931316463,0.015883209930088047
unknown,c,2019.0,John Brewer Reef,18075100104,2017,2020,0.09330899628559099,0.02613497646681301,0.10617735023620575,0.026605622303809046,0.024644812043264613,0.02227672417571311,0.01088915815199032,0.004292506429774785,0.00740149665053061,0.006233411017422654
Yasi,s,2011.0876712328768,Knife Reef,18081100104,2010,2012,0.028866468254106447,0.0019022214514440043,0.05581968589755791,0.015564280730315991,0.04242952252815667,0.0063137402427702344,0.053052743666059284,0.03052093947111053,0.03585545756324184,0.018781121028740452
unknown,m,2008.0,Lady Musgrave Island,23082101104,2008,2009,0.37320032267517006,0.0397518317868632,0.37476700926501605,0.04454611318412469,0.0049869198855306595,0.0011443945460837175,0.003637895391601812,0.00645381113701589,0.0008932117244973516,0.0038182452332185457
